,price_x,type_x,address_x,url,agent_url,number_bedrooms,District Name,Latitude,Longitude,Latitude_a,Longitude_a,county,Postcode_complete,suburb,Cluster Label,address,price_y,type_y,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,16th Most Common Venue,17th Most Common Venue,18th Most Common Venue,19th Most Common Venue,20th Most Common Venue
144,975,Studio flat,"Melrose Avenue, Willesden Green, London",http://www.rightmove.co.uk/property-to-rent/property-66822732.html,http://www.rightmove.co.uk/estate-agents/agent/Portland-Estate-Agents/London-139901.html,0.0,,,,51.553903,-0.2286854,,,,13,"Melrose Avenue, Willesden Green, London",975,Studio flat,Yoga Studio,Zoo Exhibit,Flea Market,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant,Film Studio,Fish & Chips Shop,Fish Market,Flower Shop,Event Space,Food,Food & Drink Shop,Food Court,Food Stand
145,2297,2 bedroom flat,"Priory Road, London, NW6",http://www.rightmove.co.uk/property-to-rent/property-87202943.html,http://www.rightmove.co.uk/estate-agents/agent/Woodhouse-Estates/Friern-Barnet-77192.html,2.0,Kilburn,41.332052,19.8048247,51.5431395,-0.1890195,London Borough of Camden,NW6 3BD,South Hampstead,15,"Priory Road, London, NW6",2297,2 bedroom flat,Indian Restaurant,Coffee Shop,Vietnamese Restaurant,Hotel,Bar,Café,Grocery Store,Pizza Place,Korean Restaurant,Cosmetics Shop,Pub,Dessert Shop,Czech Restaurant,Farm,Farmers Market,Fast Food Restaurant,Falafel Restaurant,Field,Filipino Restaurant,Factory
146,2800,3 bedroom flat,Ryeland Boulevard London SW18,http://www.rightmove.co.uk/property-to-rent/property-66822681.html,http://www.rightmove.co.uk/estate-agents/agent/Hamptons-International-Lettings/Earlsfield-and-Southfields-127549.html,3.0,Wandsworth,51.5073219,-0.1276474,51.4582014,-0.1929878,London Borough of Wandsworth,SW18 1UF,Earlsfield,19,Ryeland Boulevard London SW18,2800,3 bedroom flat,Pub,Coffee Shop,Clothing Store,Breakfast Spot,Supermarket,Pizza Place,Gym / Fitness Center,Asian Restaurant,Sandwich Place,Chaat Place,Organic Grocery,Optical Shop,Chocolate Shop,Bookstore,Stationery Store,Restaurant,Hotel,Bakery,Portuguese Restaurant,Burger Joint
147,1993,2 bedroom apartment,"Kite House, 286 Lynton Road, Bermondsey, SE1",http://www.rightmove.co.uk/property-to-rent/property-87071906.html,http://www.rightmove.co.uk/estate-agents/agent/Williams-Lynch/London-61682.html,2.0,Head district,51.4893335,-0.1440551,51.5048,-0.1136,,SE1,,1,"Kite House, 286 Lynton Road, Bermondsey, SE1",1993,2 bedroom apartment,Bar,Theater,Bookstore,Coffee Shop,Pub,Bakery,Event Space,Scenic Lookout,Hotel,Beer Bar,Restaurant,Concert Hall,Park,Skate Park,Asian Restaurant,Korean Restaurant,Mexican Restaurant,Indie Movie Theater,Indian Restaurant,Food Truck
148,1350,2 bedroom terraced house,"Bedwell Road, LONDON, N17",http://www.rightmove.co.uk/property-to-rent/property-87203012.html,http://www.rightmove.co.uk/estate-agents/agent/Equity-Estate-Agents/Enfield---Lettings-35516.html,2.0,Tottenham,42.988576,-81.246643,51.6005676,-0.0788432,London Borough of Haringey,N17 7AH,Tottenham,6,"Bedwell Road, LONDON, N17",1350,2 bedroom terraced house,Gas Station,Park,Pub,Museum,Café,Grocery Store,Zoo Exhibit,Fish Market,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant,Film Studio,Fish & Chips Shop,Food,Flea Market,Flower Shop,Fabric Shop
149,1150,2 bedroom apartment,"Marathon Way, West Thamesmead, London, SE28 0JJ",http://www.rightmove.co.uk/property-to-rent/property-87202964.html,http://www.rightmove.co.uk/estate-agents/agent/Hunters/Abbeywood-London-62489.html,2.0,Thamesmead,51.5072648,-0.1278328,51.500133,0.097508,Greenwich,SE28 0JJ,Thamesmead Moorings,8,"Marathon Way, West Thamesmead, London, SE28 0JJ",1150,2 bedroom apartment,Park,Zoo Exhibit,Flea Market,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant,Film Studio,Fish & Chips Shop,Fish Market,Flower Shop,Exhibit,Food,Food & Drink Shop,Food Court,Food Stand,Food Truck
150,3142,3 bedroom apartment,Hall Road London NW8,http://www.rightmove.co.uk/property-to-rent/property-66822591.html,http://www.rightmove.co.uk/estate-agents/agent/Kinleigh-Folkard-and-Hayward---Lettings/St-Johns-Wood-57973.html,3.0,St John's Wood,51.4893335,-0.1440551,51.5296908,-0.1785546,Westminster,NW8 9RF,St. John's Wood,5,Hall Road London NW8,3142,3 bedroom apartment,Cricket Ground,Pub,Café,Grocery Store,Athletics & Sports,Recording Studio,Garden,Outdoor Sculpture,Movie Theater,Gift Shop,Gourmet Shop,Farmers Market,Bar,Bakery,Historic Site,Hotel,Coffee Shop,Wine Bar,Japanese Restaurant,Restaurant
151,1365,1 bedroom flat,"Temple Dwellings, Old Bethnal Green Road, E2",http://www.rightmove.co.uk/property-to-rent/property-85572056.html,http://www.rightmove.co.uk/estate-agents/agent/Look-Property-Services-Ltd/Bow-8286.html,1.0,Bethnal Green,51.4893335,-0.1440551,51.5296787,-0.0603245,London Borough of Tower Hamlets,E2 6PR,Bethnal Green,15,"Temple Dwellings, Old Bethnal Green Road, E2",1365,1 bedroom flat,Coffee Shop,Café,Cocktail Bar,Pub,Flower Shop,Bar,Hotel,Art Gallery,Pizza Place,Park,Gym / Fitness Center,Italian Restaurant,Grocery Store,Martial Arts Dojo,Convenience Store,Fast Food Restaurant,Beer Bar,Gay Bar,Brewery,Farm
152,7583,3 bedroom flat,"Cornwall Gardens, South Kensington, London, SW7",http://www.rightmove.co.uk/property-to-rent/property-65027211.html,http://www.rightmove.co.uk/estate-agents/agent/Knight-Frank---Lettings/South-Kensington-75832.html,3.0,South Kensington,51.4893335,-0.1440551,51.4966352,-0.1860839,Royal Borough of Kensington and Chelsea,SW7 4AE,South Kensington,7,"Cornwall Gardens, South Kensington, London, SW7",7583,3 bedroom flat,Hotel,Italian Restaurant,Mediterranean Restaurant,Coffee Shop,Restaurant,Gym / Fitness Center,Pub,Garden,Supermarket,Residential Building (Apartment / Condo),Sandwich Place,Bed & Breakfast,Lounge,Malay Restaurant,French Restaurant,Tour Provider,Casino,Steakhouse,Burger Joint,Thai Restaurant
153,1950,3 bedroom flat,"Newton Road, Cricklewood, London",http://www.rightmove.co.uk/property-to-rent/property-66392226.html,http://www.rightmove.co.uk/estate-agents/agent/parkinsonfarr/Willesden-Green-29643.html,3.0,,,,51.5589797,-0.2232824,London Borough of Brent,NW2 6PR,Cricklewood,4,"Newton Road, Cricklewood, London",1950,3 bedroom flat,Bus Stop,Hardware Store,Grocery Store,Music Store,Gym / Fitness Center,Clothing Store,Supermarket,Bus Station,Hotel,Farm,Farmers Market,Fish & Chips Shop,Fast Food Restaurant,Field,Falafel Restaurant,Filipino Restaurant,Film Studio,Zoo Exhibit,Fish Market,Factory
154,1450,2 bedroom flat,"Westwell Road, London",http://www.rightmove.co.uk/property-to-rent/property-66822525.html,http://www.rightmove.co.uk/estate-agents/agent/Oaks-Estate-Agents/London-Lettings-201446.html,2.0,,,,51.4200605,-0.1300749,London Borough of Lambeth,SW16 5RU,Streatham,19,"Westwell Road, London",1450,2 bedroom flat,Pub,Gastropub,Park,Coffee Shop,Fast Food Restaurant,Video Game Store,Pizza Place,Platform,Playground,Bar,Burger Joint,Diner,Hardware Store,Supermarket,Skating Rink,Train Station,Factory,Falafel Restaurant,Farm,Farmers Market
155,953,Studio apartment,"Medway Street, London",http://www.rightmove.co.uk/property-to-rent/property-66822519.html,http://www.rightmove.co.uk/estate-agents/agent/Daniel-Cobb/Westminster-38778.html,0.0,,,,51.4953928,-0.1318757,Westminster,SW1P 2TA,Millbank,2,"Medway Street, London",953,Studio apartment,Coffee Shop,Park,Café,Hotel,Sandwich Place,Restaurant,Hotel Bar,Juice Bar,Plaza,Salad Place,Pub,Fast Food Restaurant,Sushi Restaurant,Italian Restaurant,Pharmacy,Garden,Tapas Restaurant,Breakfast Spot,Movie Theater,Sporting Goods Shop
156,5308,2 bedroom flat,"Hanway Street, London",http://www.rightmove.co.uk/property-to-rent/property-66822516.html,http://www.rightmove.co.uk/estate-agents/agent/Strutt-and-Parker---Lettings/Residential-Development-144206.html,2.0,,,,51.5168755,-0.1317148,Westminster,W1T 1UB,Fitzrovia,2,"Hanway Street, London",5308,2 bedroom flat,Coffee Shop,Hotel,Cocktail Bar,Theater,French Restaurant,Exhibit,Japanese Restaurant,Bakery,Clothing Store,Chocolate Shop,Burger Joint,Gift Shop,Tapas Restaurant,Bookstore,Tea Room,Lounge,Greek Restaurant,Steakhouse,Liquor Store,Pizza Place
157,2600,5 bedroom terraced house,"Cobbold Road, NW10",http://www.rightmove.co.uk/property-to-rent/property-66822513.html,http://www.rightmove.co.uk/estate-agents/agent/Stelfort/London-67576.html,5.0,Willesden,51.5346213,-0.2585842,51.547492,-0.2463621,London Borough of Brent,NW10 9SX,Willesden,1,"Cobbold Road, NW10",2600,5 bedroom terraced house,Fast Food Restaurant,Park,Fish & Chips Shop,Department Store,Bus Station,Market,Cosmetics Shop,Music Venue,Indian Restaurant,Film Studio,Filipino Restaurant,Zoo Exhibit,Field,Flea Market,Farmers Market,Farm,Fish Market,Food & Drink Shop,Flower Shop,Food
158,1000,1 bedroom flat,"Stevenson Court, Catford, SE6",http://www.rightmove.co.uk/property-to-rent/property-87202781.html,http://www.rightmove.co.uk/estate-agents/agent/OpenRent/London-96668.html,1.0,Catford,51.4396533,-0.0113269,51.4449,-0.0204,,SE6,,19,"Stevenson Court, Catford, SE6",1000,1 bedroom flat,Supermarket,Grocery Store,Pub,Bus Stop,Italian Restaurant,Train Station,Coffee Shop,Platform,Greek Restaurant,Theater,Hardware Store,Cocktail Bar,Bakery,Sandwich Place,Pharmacy,Fast Food Restaurant,Shopping Mall,Warehouse Store,Pizza Place,Portuguese Restaurant
159,2100,3 bedroom maisonette,"Gressenhall Road, Southfields, SW18",http://www.rightmove.co.uk/property-to-rent/property-87202778.html,http://www.rightmove.co.uk/estate-agents/agent/OpenRent/London-96668.html,3.0,Wandsworth,51.5073219,-0.1276474,51.4518124,-0.2072728,London Borough of Wandsworth,SW18 1PQ,Southfields,6,"Gressenhall Road, Southfields, SW18",2100,3 bedroom maisonette,Pharmacy,Health & Beauty Service,Music Venue,Park,Gym,Zoo Exhibit,Fish & Chips Shop,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant,Film Studio,Fish Market,Fabric Shop,Flea Market,Flower Shop,Food,Food & Drink Shop
160,1250,1 bedroom flat,"Theodore Court, London, SE13",http://www.rightmove.co.uk/property-to-rent/property-87202757.html,http://www.rightmove.co.uk/estate-agents/agent/OpenRent/London-96668.html,1.0,Lewisham,51.514947,-0.0930461,51.4643,-0.0119,,SE13,,1,"Theodore Court, London, SE13",1250,1 bedroom flat,Clothing Store,Grocery Store,Pub,Gym,Supermarket,Restaurant,Pharmacy,Video Game Store,Coffee Shop,Café,Fish & Chips Shop,Platform,Fast Food Restaurant,Gym / Fitness Center,Portuguese Restaurant,Light Rail Station,Market,Bookstore,Shoe Store,Gift Shop
161,1650,3 bedroom semi-detached house,"Marvels Lane, London, SE12",http://www.rightmove.co.uk/property-to-rent/property-87202745.html,http://www.rightmove.co.uk/estate-agents/agent/OpenRent/London-96668.html,3.0,Lee,51.4410285,0.01961,51.4298876,0.0330161,London Borough of Lewisham,SE12,Chinbrook,6,"Marvels Lane, London, SE12",1650,3 bedroom semi-detached house,Pharmacy,Dance Studio,Event Service,Convenience Store,Park,Fish Market,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant,Film Studio,Fish & Chips Shop,Flower Shop,Flea Market,Exhibit,Food,Food & Drink Shop
162,710,1 bedroom house share,"Lambolle Place, London, NW3",http://www.rightmove.co.uk/property-to-rent/property-87202730.html,http://www.rightmove.co.uk/estate-agents/agent/OpenRent/London-96668.html,1.0,Hampstead,51.4893335,-0.1440551,51.5460702,-0.1651433,London Borough of Camden,NW3 4PE,Belsize Park,5,"Lambolle Place, London, NW3",710,1 bedroom house share,Café,Pub,Bus Stop,Soccer Field,Hostel,Metro Station,Gift Shop,Coffee Shop,Outdoors & Recreation,Tapas Restaurant,Hill,Bakery,Brazilian Restaurant,Breakfast Spot,Fish & Chips Shop,Sushi Restaurant,Thrift / Vintage Store,Grocery Store,Japanese Restaurant,Arts & Crafts Store
163,2800,2 bedroom flat,"Shroton Street, London, NW1",http://www.rightmove.co.uk/property-to-rent/property-87202727.html,http://www.rightmove.co.uk/estate-agents/agent/OpenRent/London-96668.html,2.0,Head district,51.4893335,-0.1440551,51.5224703,-0.1665405,Westminster,NW1,St. John's Wood,2,"Shroton Street, London, NW1",2800,2 bedroom flat,Hotel,Pub,Coffee Shop,Sandwich Place,Café,Japanese Restaurant,Hookah Bar,Gym / Fitness Center,Restaurant,Grocery Store,Food & Drink Shop,Middle Eastern Restaurant,Breakfast Spot,Scandinavian Restaurant,Train Station,Pakistani Restaurant,Gas Station,Chocolate Shop,Seafood Restaurant,Massage Studio
164,2750,2 bedroom flat,"Shroton Street, London, NW1",http://www.rightmove.co.uk/property-to-rent/property-87202724.html,http://www.rightmove.co.uk/estate-agents/agent/OpenRent/London-96668.html,2.0,Head district,51.4893335,-0.1440551,51.5224691,-0.1665439,Westminster,NW1,St. John's Wood,2,"Shroton Street, London, NW1",2750,2 bedroom flat,Hotel,Coffee Shop,Pub,Sandwich Place,Café,Gym / Fitness Center,Hookah Bar,Food & Drink Shop,Restaurant,Middle Eastern Restaurant,Grocery Store,Japanese Restaurant,Gas Station,Snack Place,Pakistani Restaurant,Beer Bar,Train Station,Breakfast Spot,Theater,Market
165,2253,2 bedroom flat,"Queen Alexandra Mansions, London, WC1H",http://www.rightmove.co.uk/property-to-rent/property-87202721.html,http://www.rightmove.co.uk/estate-agents/agent/OpenRent/London-96668.html,2.0,,,,51.5085,-0.1257,,WC1H,,0,"Queen Alexandra Mansions, London, WC1H",2253,2 bedroom flat,Theater,Hotel,Pub,French Restaurant,Pizza Place,Ice Cream Shop,Plaza,Garden,Wine Bar,Steakhouse,Outdoor Sculpture,Arts & Crafts Store,Mexican Restaurant,Cocktail Bar,Coffee Shop,Asian Restaurant,English Restaurant,Art Museum,Restaurant,Sushi Restaurant
166,666,3 bedroom flat share,"Melbury House, London, SW8",http://www.rightmove.co.uk/property-to-rent/property-87202646.html,http://www.rightmove.co.uk/estate-agents/agent/OpenRent/London-96668.html,3.0,South Lambeth,51.4893335,-0.1440551,51.4805128,-0.1194064,London Borough of Lambeth,SW8 1LA,Kennington,19,"Melbury House, London, SW8",666,3 bedroom flat share,Pub,Portuguese Restaurant,Park,Indian Restaurant,Gastropub,Gym / Fitness Center,Hotel,Cricket Ground,Café,Fish & Chips Shop,Sandwich Place,Theater,Bistro,Grocery Store,Fried Chicken Joint,Ethiopian Restaurant,Coffee Shop,Pharmacy,Italian Restaurant,Bus Stop
167,1500,2 bedroom flat,"St Johns House, Lytham Street, London SE17",http://www.rightmove.co.uk/property-to-rent/property-66822387.html,http://www.rightmove.co.uk/estate-agents/agent/ludlowthompson/Kennington-Oval---Lettings-5479.html,2.0,Walworth,51.4893335,-0.1440551,51.4856,-0.1028,,SE17,,9,"St Johns House, Lytham Street, London SE17",1500,2 bedroom flat,Pub,Park,Italian Restaurant,Brewery,Gastropub,Theater,Flea Market,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant,Film Studio,Fish & Chips Shop,Fish Market,Food,Flower Shop,Fabric Shop,Food & Drink Shop
168,2687,2 bedroom flat,"Falmer House, Marylebone High Street, London, W1U",http://www.rightmove.co.uk/property-to-rent/property-66611793.html,http://www.rightmove.co.uk/estate-agents/agent/Chestertons-Estate-Agents/Hyde-Park-Lettings-44510.html,2.0,,,,51.5085,-0.1257,,W1U,,0,"Falmer House, Marylebone High Street, London, W1U",2687,2 bedroom flat,Theater,Hotel,Pub,French Restaurant,Pizza Place,Ice Cream Shop,Plaza,Garden,Wine Bar,Steakhouse,Outdoor Sculpture,Arts & Crafts Store,Mexican Restaurant,Cocktail Bar,Coffee Shop,Asian Restaurant,English Restaurant,Art Museum,Restaurant,Sushi Restaurant
169,2167,3 bedroom flat,"Caldwell Street, London SW9",http://www.rightmove.co.uk/property-to-rent/property-66822384.html,http://www.rightmove.co.uk/estate-agents/agent/ludlowthompson/Kennington-Oval---Lettings-5479.html,3.0,Stockwell,51.4893335,-0.1440551,51.4768909,-0.1137905,London Borough of Lambeth,SW9 0HA,Kennington,5,"Caldwell Street, London SW9",2167,3 bedroom flat,Café,Deli / Bodega,Gym / Fitness Center,Gym,Sushi Restaurant,Hotel,Coffee Shop,Plaza,Grocery Store,Theater,Bus Stop,Pub,African Restaurant,Film Studio,Fast Food Restaurant,Field,Filipino Restaurant,Farmers Market,Farm,Zoo Exhibit
170,1450,2 bedroom flat,"Kingsbury, London, NW9",http://www.rightmove.co.uk/property-to-rent/property-75423088.html,http://www.rightmove.co.uk/estate-agents/agent/OpenRent/London-96668.html,2.0,The Hyde,51.5816,-0.2557956,51.5854367,-0.2804994,,NW9 9QE,Kingsbury,4,"Kingsbury, London, NW9",1450,2 bedroom flat,Grocery Store,Coffee Shop,Indian Restaurant,Gym / Fitness Center,Mobile Phone Shop,Portuguese Restaurant,Sandwich Place,Snack Place,Supermarket,Fruit & Vegetable Store,Falafel Restaurant,Filipino Restaurant,Factory,Farm,Farmers Market,Fast Food Restaurant,Field,Zoo Exhibit,Fish & Chips Shop,Film Studio
171,3792,2 bedroom flat,"Wellington House, 30 Eton Road, Belsize Park, London, NW3",http://www.rightmove.co.uk/property-to-rent/property-87202610.html,http://www.rightmove.co.uk/estate-agents/agent/Chestertons-Estate-Agents/Hampstead-Lettings-51295.html,2.0,Hampstead,51.4893335,-0.1440551,51.5431,-0.1499,,NW3,,1,"Wellington House, 30 Eton Road, Belsize Park, London, NW3",3792,2 bedroom flat,Pub,Coffee Shop,Bar,Café,Market,Park,Pizza Place,Flea Market,Cocktail Bar,Vegetarian / Vegan Restaurant,Burger Joint,Yoga Studio,Brewery,Sandwich Place,Gymnastics Gym,Grocery Store,Clothing Store,Falafel Restaurant,Outdoor Sculpture,Breakfast Spot
172,4983,2 bedroom apartment,"Fulham Road, London, SW3",http://www.rightmove.co.uk/property-to-rent/property-87144899.html,http://www.rightmove.co.uk/estate-agents/agent/Breteuil/London-107377.html,2.0,Chelsea,51.4893335,-0.1440551,51.4927266,-0.1701208,Royal Borough of Kensington and Chelsea,SW3,Chelsea,2,"Fulham Road, London, SW3",4983,2 bedroom apartment,Café,Hotel,Italian Restaurant,Bakery,Sandwich Place,French Restaurant,Coffee Shop,Burger Joint,Pub,Seafood Restaurant,Middle Eastern Restaurant,Argentinian Restaurant,Gift Shop,Pizza Place,English Restaurant,Ice Cream Shop,Cocktail Bar,Gym / Fitness Center,Spa,Modern European Restaurant
173,1950,1 bedroom flat,"Dallington Street, London, EC1V",http://www.rightmove.co.uk/property-to-rent/property-66822366.html,http://www.rightmove.co.uk/estate-agents/agent/Chestertons-Estate-Agents/Islington-Lettings-26207.html,1.0,,,,51.5265,-0.0986,,EC1V,,1,"Dallington Street, London, EC1V",1950,1 bedroom flat,Coffee Shop,Café,Pub,Sandwich Place,Vietnamese Restaurant,Italian Restaurant,Art Gallery,Bagel Shop,Bar,Park,Food Truck,Fish & Chips Shop,Breakfast Spot,Spa,Soup Place,Cocktail Bar,Salad Place,Food & Drink Shop,Gym / Fitness Center,Bike Shop
174,2817,2 bedroom flat,"Dock Street, London E1",http://www.rightmove.co.uk/property-to-rent/property-66822363.html,http://www.rightmove.co.uk/estate-agents/agent/ludlowthompson/Docklands-5480.html,2.0,Eastern Head district,51.4893335,-0.1440551,51.5102329,-0.0682572,London Borough of Tower Hamlets,E1 8JH,St. George in the East,2,"Dock Street, London E1",2817,2 bedroom flat,Pub,Coffee Shop,Italian Restaurant,Café,Indian Restaurant,Hotel,Gym / Fitness Center,Bar,Sandwich Place,Restaurant,Pizza Place,French Restaurant,Grocery Store,Theme Restaurant,Deli / Bodega,Supermarket,Street Food Gathering,Cocktail Bar,Dim Sum Restaurant,Movie Theater
175,2448,1 bedroom flat,"GROVE END GARDENS, GROVE END ROAD, NW8",http://www.rightmove.co.uk/property-to-rent/property-66822351.html,http://www.rightmove.co.uk/estate-agents/agent/Winkworth/St-Johns-Wood-90830.html,1.0,St John's Wood,51.4893335,-0.1440551,51.5332505,-0.1773882,Westminster,NW8 9ND,St. John's Wood,5,"GROVE END GARDENS, GROVE END ROAD, NW8",2448,1 bedroom flat,Café,Cricket Ground,Coffee Shop,French Restaurant,Pizza Place,Pilates Studio,Turkish Restaurant,Health Food Store,Gym / Fitness Center,Grocery Store,Middle Eastern Restaurant,Modern European Restaurant,Gift Shop,Gastropub,Garden,Historic Site,Deli / Bodega,Fast Food Restaurant,Restaurant,Pharmacy
176,4500,4 bedroom terraced house,"Settrington Road, SW6",http://www.rightmove.co.uk/property-to-rent/property-87202541.html,http://www.rightmove.co.uk/estate-agents/agent/Douglas-and-Gordon/Fulham-34286.html,4.0,Fulham,51.5073219,-0.1276474,51.4703991,-0.1931469,London Borough of Hammersmith and Fulham,SW6 3AU,Parson's Green,15,"Settrington Road, SW6",4500,4 bedroom terraced house,Coffee Shop,Italian Restaurant,Grocery Store,Café,Pizza Place,Convenience Store,Chinese Restaurant,Park,Vegetarian / Vegan Restaurant,Food & Drink Shop,Gastropub,Thai Restaurant,Pub,Gym / Fitness Center,Mediterranean Restaurant,Health & Beauty Service,Liquor Store,Deli / Bodega,Hostel,Hookah Bar
177,3500,4 bedroom house,"42, Elliscombe Road, SE7",http://www.rightmove.co.uk/property-to-rent/property-75786673.html,http://www.rightmove.co.uk/estate-agents/agent/Hostmaker/Bermondsey-186593.html,4.0,Charlton,51.4905356,0.0345541,51.4820921,0.0329811,Royal Borough of Greenwich,SE7 7PZ,Charlton,4,"42, Elliscombe Road, SE7",3500,4 bedroom house,Bus Stop,Grocery Store,Pub,Thai Restaurant,Café,Pet Store,Historic Site,Construction & Landscaping,Film Studio,Filipino Restaurant,Field,Farmers Market,Fast Food Restaurant,Fish Market,Farm,Falafel Restaurant,Fish & Chips Shop,Zoo Exhibit,Flea Market,Fabric Shop
178,2600,1 bedroom flat,"Walton Street, SW3",http://www.rightmove.co.uk/property-to-rent/property-66822171.html,http://www.rightmove.co.uk/estate-agents/agent/Douglas-and-Gordon/Chelsea-34277.html,1.0,Chelsea,51.4893335,-0.1440551,51.4974146,-0.1632159,Royal Borough of Kensington and Chelsea,SW3 1SA,,2,"Walton Street, SW3",2600,1 bedroom flat,Café,Italian Restaurant,Boutique,Hotel,Coffee Shop,Japanese Restaurant,Garden,Restaurant,Indian Restaurant,Jewelry Store,Tea Room,Clothing Store,Cocktail Bar,Shoe Store,Russian Restaurant,Middle Eastern Restaurant,Pizza Place,Pub,Lebanese Restaurant,Park
179,2708,2 bedroom flat,"Euston Road, Fitzrovia",http://www.rightmove.co.uk/property-to-rent/property-86186060.html,http://www.rightmove.co.uk/estate-agents/agent/Dexters/Fitzrovia-156875.html,2.0,,,,51.5239528,-0.1439341,Westminster,W1W 5DD,Fitzrovia,15,"Euston Road, Fitzrovia",2708,2 bedroom flat,Coffee Shop,Pub,Gym / Fitness Center,Indian Restaurant,Turkish Restaurant,Theater,Plaza,Middle Eastern Restaurant,Vietnamese Restaurant,Art Gallery,Hostel,Building,Buffet,Modern European Restaurant,Garden,Street Art,Spanish Restaurant,Breakfast Spot,Brazilian Restaurant,Sushi Restaurant
180,2037,2 bedroom flat,"Horizon Building, Canary Wharf, E14",http://www.rightmove.co.uk/property-to-rent/property-87202394.html,http://www.rightmove.co.uk/estate-agents/agent/Morgan-Randall/Canary-Wharf-62006.html,2.0,Poplar,51.514947,-0.0930461,51.5062,-0.0196,,E14,,1,"Horizon Building, Canary Wharf, E14",2037,2 bedroom flat,Coffee Shop,Park,Café,Italian Restaurant,Sandwich Place,Burger Joint,Plaza,Gym / Fitness Center,Sushi Restaurant,Bakery,Street Food Gathering,Pizza Place,Shopping Mall,Bookstore,Spanish Restaurant,Smoothie Shop,Spa,Mexican Restaurant,Fish Market,Fried Chicken Joint
181,1473,1 bedroom apartment,Stroud Green Road Stroud Green N4,http://www.rightmove.co.uk/property-to-rent/property-87202382.html,http://www.rightmove.co.uk/estate-agents/agent/Kinleigh-Folkard-and-Hayward---Lettings/Crouch-End-55432.html,1.0,Finsbury Park,51.4893335,-0.1440551,51.5697927,-0.1132452,London Borough of Islington,N4 3RZ,,19,Stroud Green Road Stroud Green N4,1473,1 bedroom apartment,Pub,Café,Indian Restaurant,Italian Restaurant,Grocery Store,Pizza Place,Coffee Shop,Sandwich Place,Vietnamese Restaurant,Tailor Shop,Train Station,Trail,Thai Restaurant,Mexican Restaurant,Tapas Restaurant,Park,Food & Drink Shop,Turkish Restaurant,Clothing Store,Restaurant
182,997,Studio apartment,"Medway Street, London",http://www.rightmove.co.uk/property-to-rent/property-66821826.html,http://www.rightmove.co.uk/estate-agents/agent/Daniel-Cobb/Westminster-38778.html,0.0,,,,51.4953928,-0.1318757,Westminster,SW1P 2TA,Millbank,2,"Medway Street, London",997,Studio apartment,Coffee Shop,Park,Café,Hotel,Sandwich Place,Restaurant,Hotel Bar,Juice Bar,Plaza,Salad Place,Pub,Fast Food Restaurant,Sushi Restaurant,Italian Restaurant,Pharmacy,Garden,Tapas Restaurant,Breakfast Spot,Movie Theater,Sporting Goods Shop
183,2253,1 bedroom flat,"Gilbert House, Barbican, London",http://www.rightmove.co.uk/property-to-rent/property-66821817.html,http://www.rightmove.co.uk/estate-agents/agent/Scott-City-Residential/London-6242.html,1.0,,,,50.3673416,-4.1358912,,,,2,"Gilbert House, Barbican, London",2253,1 bedroom flat,Pub,Café,Hotel,Bar,Restaurant,Burger Joint,Indian Restaurant,Seafood Restaurant,Sandwich Place,Grocery Store,Fish & Chips Shop,Chinese Restaurant,Tea Room,Pizza Place,Scenic Lookout,Theater,Gym,Fish Market,Boat or Ferry,Hotel Bar
184,3250,2 bedroom flat,"Elbe Street, London",http://www.rightmove.co.uk/property-to-rent/property-87202313.html,http://www.rightmove.co.uk/estate-agents/agent/Barnard-Marcus-Lettings/Bedford-Park-Lettings-50927.html,2.0,,,,51.4728622,-0.1853427,London Borough of Hammersmith and Fulham,SW6 2JX,Sands End,2,"Elbe Street, London",3250,2 bedroom flat,Café,Coffee Shop,Hotel,Pub,Dance Studio,Middle Eastern Restaurant,Harbor / Marina,Beer Store,Mediterranean Restaurant,Gym / Fitness Center,Park,Hostel,Thai Restaurant,Chinese Restaurant,Gastropub,Spa,Bus Stop,Pier,Train Station,Italian Restaurant
